Neighborhood,Crime,Number of Cases,Date
Longfellow,Burglary,8.0,2018-01-01
Longfellow,Homicide,0.0,2018-01-01
Longfellow,Larceny,29.0,2018-01-01
Longfellow,Rape,1.0,2018-01-01
Longfellow,Robbery,1.0,2018-01-01
Loring Park,Aggravated Assault,1.0,2018-01-01
Loring Park,Arson,0.0,2018-01-01
Loring Park,Auto Theft,3.0,2018-01-01
Loring Park,Burglary,0.0,2018-01-01
Loring Park,Homicide,0.0,2018-01-01
Loring Park,Larceny,22.0,2018-01-01
Loring Park,Rape,1.0,2018-01-01
Loring Park,Robbery,1.0,2018-01-01
Lowry Hill,Aggravated Assault,0.0,2018-01-01
Lowry Hill,Arson,0.0,2018-01-01
Lowry Hill,Auto Theft,1.0,2018-01-01
Lowry Hill,Burglary,0.0,2018-01-01
Lowry Hill,Homicide,0.0,2018-01-01
Lowry Hill,Larceny,7.0,2018-01-01
Lowry Hill,Rape,1.0,2018-01-01
Lowry Hill,Robbery,0.0,2018-01-01
Lowry Hill East,Aggravated Assault,0.0,2018-01-01
Lowry Hill East,Arson,0.0,2018-01-01
Lowry Hill East,Auto Theft,1.0,2018-01-01
Lowry Hill East,Burglary,2.0,2018-01-01
Lowry Hill East,Homicide,0.0,2018-01-01
Lowry Hill East,Larceny,30.0,2018-01-01
Lowry Hill East,Rape,0.0,2018-01-01
Lowry Hill East,Robbery,2.0,2018-01-01
Lyndale,Aggravated Assault,1.0,2018-01-01
Lyndale,Arson,0.0,2018-01-01
Lyndale,Auto Theft,2.0,2018-01-01
Lyndale,Burglary,4.0,2018-01-01
Lyndale,Homicide,0.0,2018-01-01
Lyndale,Larceny,15.0,2018-01-01
Lyndale,Rape,1.0,2018-01-01
Lyndale,Robbery,1.0,2018-01-01
Lynnhurst,Aggravated Assault,2.0,2018-01-01
Lynnhurst,Arson,0.0,2018-01-01
Lynnhurst,Auto Theft,0.0,2018-01-01
Lynnhurst,Burglary,4.0,2018-01-01
Lynnhurst,Homicide,0.0,2018-01-01
Lynnhurst,Larceny,3.0,2018-01-01
Lynnhurst,Rape,0.0,2018-01-01
Lynnhurst,Robbery,0.0,2018-01-01
Marcy Holmes,Aggravated Assault,2.0,2018-01-01
Marcy Holmes,Arson,0.0,2018-01-01
Marcy Holmes,Auto Theft,11.0,2018-01-01
Marcy Holmes,Burglary,6.0,2018-01-01
Marcy Holmes,Homicide,1.0,2018-01-01
Marcy Holmes,Larceny,26.0,2018-01-01
Marcy Holmes,Rape,0.0,2018-01-01
Marcy Holmes,Robbery,2.0,2018-01-01
Marshall Terrace,Aggravated Assault,0.0,2018-01-01
Marshall Terrace,Arson,0.0,2018-01-01
Marshall Terrace,Auto Theft,1.0,2018-01-01
Marshall Terrace,Burglary,0.0,2018-01-01
Marshall Terrace,Homicide,0.0,2018-01-01
Marshall Terrace,Larceny,9.0,2018-01-01
Marshall Terrace,Rape,0.0,2018-01-01
Marshall Terrace,Robbery,0.0,2018-01-01
McKinley,Aggravated Assault,4.0,2018-01-01
McKinley,Arson,0.0,2018-01-01
McKinley,Auto Theft,10.0,2018-01-01
McKinley,Burglary,3.0,2018-01-01
McKinley,Homicide,0.0,2018-01-01
McKinley,Larceny,4.0,2018-01-01
McKinley,Rape,0.0,2018-01-01
McKinley,Robbery,1.0,2018-01-01
Mid - City Industrial,Aggravated Assault,0.0,2018-01-01
Mid - City Industrial,Arson,0.0,2018-01-01
Mid - City Industrial,Auto Theft,1.0,2018-01-01
Mid - City Industrial,Burglary,0.0,2018-01-01
Mid - City Industrial,Homicide,0.0,2018-01-01
Mid - City Industrial,Larceny,4.0,2018-01-01
Mid - City Industrial,Rape,1.0,2018-01-01
Mid - City Industrial,Robbery,1.0,2018-01-01
Midtown Phillips,Aggravated Assault,3.0,2018-01-01
