Date,Neighborhood,Crime,Number of Cases
12/2021,Shingle Creek,Homicide,0.0
12/2021,Shingle Creek,Larceny,2.0
12/2021,Shingle Creek,Rape,0.0
12/2021,Shingle Creek,Robbery,0.0
12/2021,St. Anthony East,Aggravated Assault,2.0
12/2021,St. Anthony East,Arson,0.0
12/2021,St. Anthony East,Auto Theft,1.0
12/2021,St. Anthony East,Burglary,3.0
12/2021,St. Anthony East,Homicide,0.0
12/2021,St. Anthony East,Larceny,4.0
12/2021,St. Anthony East,Rape,0.0
12/2021,St. Anthony East,Robbery,0.0
12/2021,St. Anthony West,Aggravated Assault,0.0
12/2021,St. Anthony West,Arson,0.0
12/2021,St. Anthony West,Auto Theft,2.0
12/2021,St. Anthony West,Burglary,0.0
12/2021,St. Anthony West,Homicide,0.0
12/2021,St. Anthony West,Larceny,12.0
12/2021,St. Anthony West,Rape,0.0
12/2021,St. Anthony West,Robbery,2.0
12/2021,Standish,Aggravated Assault,0.0
12/2021,Standish,Arson,0.0
12/2021,Standish,Auto Theft,4.0
12/2021,Standish,Burglary,2.0
12/2021,Standish,Homicide,0.0
12/2021,Standish,Larceny,7.0
12/2021,Standish,Rape,0.0
12/2021,Standish,Robbery,5.0
12/2021,Steven's Square - Loring Heights,Aggravated Assault,2.0
12/2021,Steven's Square - Loring Heights,Arson,0.0
12/2021,Steven's Square - Loring Heights,Auto Theft,1.0
12/2021,Steven's Square - Loring Heights,Burglary,2.0
12/2021,Steven's Square - Loring Heights,Homicide,0.0
12/2021,Steven's Square - Loring Heights,Larceny,9.0
12/2021,Steven's Square - Loring Heights,Rape,0.0
12/2021,Steven's Square - Loring Heights,Robbery,2.0
12/2021,Sumner - Glenwood,Aggravated Assault,0.0
12/2021,Sumner - Glenwood,Arson,0.0
12/2021,Sumner - Glenwood,Auto Theft,1.0
12/2021,Sumner - Glenwood,Burglary,0.0
12/2021,Sumner - Glenwood,Homicide,0.0
12/2021,Sumner - Glenwood,Larceny,1.0
12/2021,Sumner - Glenwood,Rape,0.0
12/2021,Sumner - Glenwood,Robbery,2.0
12/2021,Tangletown,Aggravated Assault,0.0
12/2021,Tangletown,Arson,0.0
12/2021,Tangletown,Auto Theft,2.0
12/2021,Tangletown,Burglary,0.0
12/2021,Tangletown,Homicide,0.0
12/2021,Tangletown,Larceny,9.0
12/2021,Tangletown,Rape,0.0
12/2021,Tangletown,Robbery,1.0
12/2021,University of Minnesota,Aggravated Assault,0.0
12/2021,University of Minnesota,Arson,0.0
12/2021,University of Minnesota,Auto Theft,0.0
12/2021,University of Minnesota,Burglary,0.0
12/2021,University of Minnesota,Homicide,0.0
12/2021,University of Minnesota,Larceny,4.0
12/2021,University of Minnesota,Rape,1.0
12/2021,University of Minnesota,Robbery,0.0
12/2021,Ventura Village,Aggravated Assault,3.0
12/2021,Ventura Village,Arson,1.0
12/2021,Ventura Village,Auto Theft,8.0
12/2021,Ventura Village,Burglary,0.0
12/2021,Ventura Village,Homicide,0.0
12/2021,Ventura Village,Larceny,14.0
12/2021,Ventura Village,Rape,1.0
12/2021,Ventura Village,Robbery,8.0
12/2021,Victory,Aggravated Assault,2.0
12/2021,Victory,Arson,0.0
12/2021,Victory,Auto Theft,3.0
12/2021,Victory,Burglary,2.0
