Date,Neighborhood,Crime,Number of Cases
4/2020,Sheridan,Arson,0.0
4/2020,Sheridan,Auto Theft,3.0
4/2020,Sheridan,Burglary,3.0
4/2020,Sheridan,Homicide,0.0
4/2020,Sheridan,Larceny,3.0
4/2020,Sheridan,Rape,0.0
4/2020,Sheridan,Robbery,0.0
4/2020,Shingle Creek,Aggravated Assault,1.0
4/2020,Shingle Creek,Arson,0.0
4/2020,Shingle Creek,Auto Theft,1.0
4/2020,Shingle Creek,Burglary,2.0
4/2020,Shingle Creek,Homicide,0.0
4/2020,Shingle Creek,Larceny,1.0
4/2020,Shingle Creek,Rape,0.0
4/2020,Shingle Creek,Robbery,0.0
4/2020,St. Anthony East,Aggravated Assault,0.0
4/2020,St. Anthony East,Arson,0.0
4/2020,St. Anthony East,Auto Theft,0.0
4/2020,St. Anthony East,Burglary,3.0
4/2020,St. Anthony East,Homicide,0.0
4/2020,St. Anthony East,Larceny,5.0
4/2020,St. Anthony East,Rape,0.0
4/2020,St. Anthony East,Robbery,0.0
4/2020,St. Anthony West,Aggravated Assault,0.0
4/2020,St. Anthony West,Arson,1.0
4/2020,St. Anthony West,Auto Theft,0.0
4/2020,St. Anthony West,Burglary,3.0
4/2020,St. Anthony West,Homicide,0.0
4/2020,St. Anthony West,Larceny,2.0
4/2020,St. Anthony West,Rape,0.0
4/2020,St. Anthony West,Robbery,1.0
4/2020,Standish,Aggravated Assault,2.0
4/2020,Standish,Arson,0.0
4/2020,Standish,Auto Theft,2.0
4/2020,Standish,Burglary,6.0
4/2020,Standish,Homicide,0.0
4/2020,Standish,Larceny,6.0
4/2020,Standish,Rape,0.0
4/2020,Standish,Robbery,0.0
4/2020,Steven's Square - Loring Heights,Aggravated Assault,4.0
4/2020,Steven's Square - Loring Heights,Arson,0.0
4/2020,Steven's Square - Loring Heights,Auto Theft,5.0
4/2020,Steven's Square - Loring Heights,Burglary,3.0
4/2020,Steven's Square - Loring Heights,Homicide,0.0
4/2020,Steven's Square - Loring Heights,Larceny,18.0
4/2020,Steven's Square - Loring Heights,Rape,0.0
4/2020,Steven's Square - Loring Heights,Robbery,3.0
4/2020,Sumner - Glenwood,Aggravated Assault,2.0
4/2020,Sumner - Glenwood,Arson,0.0
4/2020,Sumner - Glenwood,Auto Theft,1.0
4/2020,Sumner - Glenwood,Burglary,1.0
4/2020,Sumner - Glenwood,Homicide,0.0
4/2020,Sumner - Glenwood,Larceny,2.0
4/2020,Sumner - Glenwood,Rape,0.0
4/2020,Sumner - Glenwood,Robbery,0.0
4/2020,Tangletown,Aggravated Assault,0.0
4/2020,Tangletown,Arson,0.0
4/2020,Tangletown,Auto Theft,0.0
4/2020,Tangletown,Burglary,2.0
4/2020,Tangletown,Homicide,0.0
4/2020,Tangletown,Larceny,5.0
4/2020,Tangletown,Rape,0.0
